Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Golden Falcon,11/23/2019,"Also known as DustSquad, Russian-speaking but may be Kazakh.","Threat actor that has targeted Kazakh government officials and private individuals, along with some Chinese individuals.",,,,,,https://www.zdnet.com/article/extensive-hacking-operation-discovered-in-kazakhstan/,http://blogs.360.cn/post/APT-C-34_Golden_Falcon.html,
Targeting of Visma,2/6/2019,Believed to be the work of APT 10.,"Hackers used malware from the dark web to target a Norwegian internet service provider. The goal of the attack was to gain access to customers’ intellectual property, strategic plans, and emails.",,Visma,China,Espionage,Private sector,https://www.recordedfuture.com/apt10-cyberespionage-campaign/,https://www.reuters.com/article/us-china-cyber-norway-visma/china-hacked-norways-visma-to-steal-client-secrets-investigators-idUSKCN1PV141,https://www.nytimes.com/2019/02/18/technology/hackers-chinese-iran-usa.html
Autumn Aperture—malware embedded in antiquated file types,9/11/2019,"Believed to be the work of Kimusky, also known as Thallium and Smoke Screen.","A threat actor targeted U.S.-based entities by emailing them malware-laced Microsoft Word documents written by industry experts. The trojanized documents discussed nuclear deterrence, North Korea's nuclear submarine program, and economic sanctions on the North Korean regime. This incident is believed to be an extension of the August Autumn Aperture campaign.",,Unnamed U.S.-based entities,Korea (Democratic People's Republic of),,Private sector,https://blog.prevailion.com/2019/09/autumn-aperture-report.html,https://www.cyberscoop.com/north-korea-hackers-kimsuky-microsoft-word-prevailion/,
Targeting of industrial control systems,11/23/2019,APT 33,"Iran-aligned threat actor APT 33 targeted industrial control system manufacturers, suppliers, and maintainers.",,"Industrial control systems manufacturers, suppliers, and maintainers",Iran (Islamic Republic of),Espionage,Private sector,https://arstechnica.com/information-technology/2019/11/a-notorious-iranian-hacking-crew-is-targeting-industrial-control-systems/,https://www.cyberscoop.com/apt33-microsoft-iran-ics/,
Compromise of Yandex,6/27/2019,Five Eyes,"This threat actor deployed Regin, a rare type of malware, in an attempt to spy on user accounts for Yandex, a Russian search engine and email provider.",Confirmation   https://www.reuters.com/article/us-usa-cyber-yandex-exclusive/exclusive-western-intelligence-hacked-russias-google-yandex-to-spy-on-accounts-sources-idUSKCN1TS2SX,Yandex,"United States, Australia, Canada, New Zealand, United Kingdom",Espionage,Private sector,https://www.reuters.com/article/us-usa-cyber-yandex-exclusive/exclusive-western-intelligence-hacked-russias-google-yandex-to-spy-on-accounts-sources-idUSKCN1TS2SX,,
Targeting of telecommunications operators in countries through which Uighurs are known to travel,9/5/2019,Believed to be the work of Chinese state-sponsored hackers.,"Multiple threat actors compromised telecoms networks across Central and Southeast Asia. The attacks were part of a wider cyber-espionage campaign targeting diplomats and state officials, and they signal China's ability and intent to track the movements of Uighurs along a number of transit routes that they use to escape state persecution.",,,China,Espionage,Civil society,https://www.reuters.com/article/us-china-cyber-uighurs/china-hacked-asian-telcos-to-spy-on-uighur-travelers-sources-idUSKCN1VQ1A5,https://telecom.economictimes.indiatimes.com/news/china-hacked-indian-other-asian-telcos-to-spy-on-uighurs/71019842,
Targeting of Japanese organizations,10/2/2019,APT 17 and Bronze Butler,Two Chinese government threat actors used a number of zero-day vulnerabilities in common Japanese software to target Japanese organizations over the course of several years.,,Japanese organizations,China,Espionage,Private sector,https://threatpost.com/virus-bulletin-japanese-attacks-apt-strategygy/148859/,,
Targeting of Internet of Things (IoT) devices used by Microsoft customers,8/5/2019,"Believed to be the work of Strontium, also known as APT 28 and Fancy Bear.","The threat actor exploited office devices’ weak, outdated security to access the networks of several Microsoft customers and infiltrate accounts with more privileges.",,,Russian Federation,,Private sector,https://www.forbes.com/sites/zakdoffman/2019/08/05/microsoft-warns-russian-hackers-can-breach-companies-through-millions-of-simple-iot-devices/#51543552617f,https://www.cyberscoop.com/russian-apt-iot-device-security/,
Targeting of Ukrainian government entities,11/25/2019,Gamaredon,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",,,,Espionage,,,,
U.S. Cyber Command offensive attack of Russian troll farm,2/27/2019,U.S. Cyber Command,"In November 2018, the U.S. Cyber Command launched an offensive campaign to combat a Russian troll operation known for using disinformation tactics.",,Russia,United States,Denial of service,Government,https://www.washingtonpost.com/world/national-security/us-cyber-command-operation-disrupted-internet-access-of-russian-troll-factory-on-day-of-2018-midterms/2019/02/26/1827fc9e-36d6-11e9-af5b-b51b7ff322e9_story.html?utm_term=.9be95dc8f486,https://www.nytimes.com/2018/10/23/us/politics/russian-hacking-usa-cyber-command.html,
Targeting of Middle Eastern oil companies,12/4/2019,APT 34,"Using a new wiper malware called ZeroCleare, Iranian-linked threat actor APT 34 (aka Oilrig) targeted oil companies in the Middle East.",,Oil companies in the Middle East,Iran (Islamic Republic of),Data destruction,Private sector,https://www.ibm.com/downloads/cas/OAJ4VZNJ,,
Attacks on private U.S. companies,6/22/2019,Iran,This threat actor increased malicious activity targeting U.S. companies following a U.S. attack on Iranian computer systems.,Confirmation   https://www.dhs.gov/cisa/news/2019/06/22/cisa-statement-iranian-cybersecurity-threats,U.S. private sector,Iran (Islamic Republic of),Data destruction,Private sector,https://www.bloomberg.com/news/articles/2019-06-22/iran-increases-cyberattacks-on-the-u-s-amid-tensions-dhs-says,,
Targeting of the Cambodian government,12/7/2019,Rancor,The China-linked threat actor group Rancor targeted unnamed Cambodian government entities.,,Cambodian government,China,Espionage,Government,https://www.cyberscoop.com/rancor-group-cambodia-palo-alto-networks/,https://unit42.paloaltonetworks.com/rancor-cyber-espionage-group-uses-new-custom-malware-to-attack-southeast-asia/,
PKplug,10/3/2019,China,A Chinese-linked threat actor group active in Southeast Asia,,,China,,,https://unit42.paloaltonetworks.com/pkplug_chinese_cyber_espionage_group_attacking_asia/,,
APT 41,8/7/2019,,"This threat actor has, since 2014, conducted operations backed by the Chinese government, including targeting the health-care and high-tech sectors and conducting espionage against political dissidents. It has simultaneously conducted its own for-profit illicit activity in the video games industry, amassing millions of dollars in digital currency to be sold to gamers on the black market. The threat actor operates outside of state control but is linked to other Chinese APT malware actors and tools on a part-time or contractual basis, or is a full-time, state-sponsored APT actor that simultaneously conducts nonstate campaigns for supplemental income. This threat actor is a notable example of the blurring lines between state-sponsored and commercial cyber criminals.",,"United States, France, Japan, Singapore, United Kingdom, Hong Kong",China,Espionage,"Government, Private sector",https://content.fireeye.com/apt-41/rpt-apt41/,https://www.ft.com/content/965ceffc-b8ea-11e9-8a88-aa6628ac896c,
Targeting of Ukrainian government entities,11/25/2019,Gamaredon,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",,,,Espionage,,,,
Targeting of universities' maritime military secrets,3/5/2019,Believed to be the work of Leviathan.,"Chinese hackers targeted twenty-seven universities in the United States, Canada, and Southeast Asia as part of a scheme to steal research about maritime technology under development for military use.",,"University of Hawaii, University of Washington, Massachusetts Institute of Technology , Pennsylvania State University, Duke University",China,Espionage,"Civil society, Private sector",https://www.wsj.com/articles/chinese-hackers-target-universities-in-pursuit-of-maritime-military-secrets-11551781800,http://fortune.com/2019/03/05/chinese-hackers-targeted-27-universities-to-steal-maritime-research-report-finds/,
Targeting of a U.S. presidential campaign,10/4/2019,"Believed to be the work of Phosphoros, also known as APT 35","A threat actor targeted the email accounts of an unnamed U.S. presidential campaign, current and former U.S. officials and journalists, and others. During a thirty-day period in August and September, Microsoft observed more than 2,700 attempts to identify the emails of specific customers and 241 hacks.  Four accounts were compromised, though not those connected to the presidential campaign or the officials. A threat actor linked to the Iranian government unsuccessfully attempted to break into President Donald J. Trump's reelection campaign, according to sources familiar with the incident. ",,An unnamed U.S. presidential campaign,Iran (Islamic Republic of),Espionage,Government,https://www.bloomberg.com/news/articles/2019-10-04/microsoft-says-iran-tried-to-hack-a-u-s-presidential-campaign,https://www.reuters.com/article/us-cyber-security-iran-trump-exclusive/exclusive-trump-campaign-targeted-by-iran-linked-hackers-sources-idUSKBN1WJ2B4,
Targeting of U.S. manufacturing group,11/13/2019,Government of China,Chinese government hackers attacked the National Association of Manufacturers to steal information that might be useful in U.S.-China trade negotiations.,,National Association of Manufacturers,China,Espionage,Civil society,https://www.reuters.com/article/us-usa-trade-china-cyber-exclusive/exclusive-u-s-manufacturing-group-hacked-by-china-as-trade-talks-intensified-sources-idUSKBN1XN1AY?il=0,,
Targeting of U.S. government and private entities and other victims,11/13/2019,APT 33,"The Iran-aligned espionage group APT 33 used botnets to launch a campaign against a small number of victims in the public and private sectors in the United States, Asia, and the Middle East.",,"U.S. government,",Iran (Islamic Republic of),Espionage,"Government, Private sector",https://blog.trendmicro.com/trendlabs-security-intelligence/more-than-a-dozen-obfuscated-apt33-botnets-used-for-extreme-narrow-targeting/,,
Attacks in East and Southeast Asia,10/3/2019,PKplug,Chinese government threat actor PKplug targeted organizations in East and Southeast Asia.,,,China,Espionage,,https://unit42.paloaltonetworks.com/pkplug_chinese_cyber_espionage_group_attacking_asia/,,
Compromise of Bahraini government agencies and critical infrastructure,8/7/2019,,"A threat actor broke into the systems of Bahrain's National Security Agency, Ministry of Interior, and office of the first deputy prime minister. On July 25, 2019, Bahraini authorities detected intrusions into its electric and water authority that shut down several systems. The attacks were similar to two hacks in 2012, in which the Shamoon virus was used to knock Qatar's natural gas firm RasGas offline and wipe data from the hard drives at Saudi Aramco, Saudi Arabia's national oil company.",,Bahrain,Iran (Islamic Republic of),Sabotage,"Government, Private sector",https://www.wsj.com/articles/high-level-cyber-intrusions-hit-bahrain-amid-tensions-with-iran-11565202488,https://www.forbes.com/sites/zakdoffman/2019/08/08/iranian-hackers-suspected-of-cyberattacks-on-bahrain-sending-message-beyond-the-gulf-report/#55cc36a8324b,
Targeting of Ukrainian government entities,11/25/2019,Gamaredon,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019. ",,,,Espionage,,,,
Whitefly,3/6/2019,Believed to be behind the Singapore health-care breach in July 2018.,"This threat actor has been active since mid-2017, targeting mainly health-care, media, telecommunications, and engineering organizations in Singapore, in addition to multinational companies with a presence in the country. The group has also targeted defense, telecommunications, and energy companies in Russia, the United Kingdom, and Southeast Asia. The group relies on a combination of custom malware, open-source hacking tools, and legitimate applications to achieve its goals.",,"Singapore, Russia, United Kingdom",,,"Government, Private sector",https://www.securityweek.com/massive-singapore-healthcare-breach-linked-whitefly-cyberspy-group,https://www.symantec.com/blogs/threat-intelligence/whitefly-espionage-singapore,https://www.reuters.com/article/singapore-cyberattack-symantec/state-sponsored-espionage-group-whitefly-behind-major-singapore-cyberattack-report-idUSL1N20T03V
Targeting of Indian space agency,11/7/2019,The Lazarus Group,North Korean hackers attacked the Indian Space Research Organization as part of a broader assault on India’s government agencies.,,Indian Space Research Organization,Korea (Democratic People's Republic of),Espionage,Government,https://www.ft.com/content/ac6a8782-ffad-11e9-b7bc-f3fa4e77dd47,https://economictimes.indiatimes.com/tech/internet/isro-warned-of-a-possible-cyberattack-when-dtrack-came-calling/articleshow/71964232.cms,https://www.brecorder.com/2019/11/07/542425/india-plays-down-isro-breach-by-suspected-north-korean-hackers/
Attack of  Japanese companies with links to China,11/29/2019,Bronze Butler,China-linked espionage group Bronze Butler targeted companies with head offices in Japan and subsidiaries in China to try to steal highly classified information.,,Japanese organizations with subsidiaries in China,China,Espionage,Private sector,https://blog.trendmicro.com/trendlabs-security-intelligence/operation-endtrade-finding-multi-stage-backdoors-that-tick/,,
"Attack on U.S. presidential campaign government officials, journalists, and prominent expatriate Iranians",10/4/2019,Phosphorus,"Iranian threat actor Phosphorus attacked 241 email accounts associated with a U.S. presidential campaign government officials, and journalists, and prominent expatriate Iranians.",,"A U.S. presidential campaign, government officials, journalists, and prominent expatriate Iranians",Iran (Islamic Republic of),Espionage,"Civil society, Government",https://blogs.microsoft.com/on-the-issues/2019/10/04/recent-cyberattacks-require-us-all-to-be-vigilant/,,
Targeting of secure messaging app used by Hong Kong protesters,6/13/2019,Hong Kong police,"Hong Kong authorities used a network of Chinese computers to track protesters' organizing activity on Telegram, a secure messaging app.",,Hong Kong,Hong Kong,Espionage,Civil society,https://www.bloomberg.com/news/articles/2019-08-31/hong-kong-cyber-attack-briefly-disrupts-key-protester-forum,https://www.nytimes.com/2019/06/13/world/asia/hong-kong-telegram-protests.html,
Targeting of Ukrainian government entities,11/25/2019,Gamaredon,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",,Ukrainian government entities,Russian Federation,Espionage,Government,https://www.anomali.com/files/white-papers/Anomali_Threat_Research-Gamaredon_TTPs_Target_Ukraine-WP.pdf,https://threatpost.com/gamaredon-apt-toolset-ukraine/152568/,
2019 Indonesian elections,3/12/2019,Believed to be the work of Russian and Chinese hackers.,Senior Indonesian election officials accused Chinese and Russian hackers of manipulating and modifying Indonesia's voter data base to disrupt the presidential elections.,,Indonesia,"China, Russian Federation",Espionage,Government,https://www.bloomberg.com/news/articles/2019-03-12/indonesia-says-poll-under-attack-from-chinese-russian-hackers,https://www.reuters.com/article/us-indonesia-election/indonesia-says-cyber-attacks-wont-disrupt-elections-idUSKBN1QU135,
Compromise of Airbus suppliers,9/26/2019,Believed to be the work of APT 10 or the Jiangsu Province Ministry of State Security.,"A threat actor targeted virtual private networks (VPNs) used by suppliers of European aerospace company Airbus with a series of attacks. The attacks resulted in unauthorized access to data, including the theft of documents related to Airbus's military transport plane A400M, designed with one of the most powerful propeller engines in the world.",,Airbus,China,Espionage,Private sector,https://www.france24.com/en/20190926-airbus-hit-by-series-of-cyber-attacks-on-suppliers,https://www.reuters.com/article/us-airbus-cyberattack-report/hackers-tried-to-steal-airbus-secrets-via-contractors-afp-idUSKBN1WB0U9,
Targeting of Egyptian dissidents,10/3/2019,Government of Egypt,"The Egyptian government installed mobile apps on targets’ phones to extract files, track their locations, and identify contacts.",,"Egyptian journalists, academics, lawyers, opposition politicians, and human rights activists",Egypt,Espionage,Civil society,https://www.nytimes.com/2019/10/03/world/middleeast/egypt-cyber-attack-phones.html,https://research.checkpoint.com/2019/the-eye-on-the-nile/,
"Targeting of the Australian Parliament, including the Liberal, National, and Labor Parties",8/15/2019,China’s Ministry of State Security,A threat actor targeted the computer network of the Parliament of Australia. The hackers breached the Parliament's network and the networks of the three largest political parties.,,,China,Espionage,,https://www.reuters.com/article/us-australia-china-cyber-exclusive/exclusive-australia-concluded-china-was-behind-hack-on-parliament-political-parties-sources-idUSKBN1W00VF,https://www.theguardian.com/australia-news/2019/feb/08/asio-australian-security-services-hack-data-breach-investigate-attempted-cyber-attack-parliament,
Targeting of South Korean macOS users,11/20/2019,Lazarus Group,The North Korean threat actor Lazarus Group targeted South Korean macOS users with a new malware variant.,,South Korean macOS users,Korea (Democratic People's Republic of),Espionage,,https://blog.trendmicro.com/trendlabs-security-intelligence/mac-backdoor-linked-to-lazarus-targets-korean-users/,,
Targeting of Russian speakers,10/10/2019,Unknown,ESET researchers discovered a new malware called Attor that has been used to target only a few dozen victims since 2013. The victims include diplomatic and government institutions and the malware is designed to steal encryption information from certain applications.,,"Russian speakers, as well as diplomatic and government institutions in Eastern Europe",,Espionage,Government,https://www.welivesecurity.com/2019/10/10/eset-discovers-attor-spy-platform/,,
Compromise of websites related to Uighur communities,9/3/2019,"Believed to be the work of at least two unnamed APT groups, including Evil Eye","Multiple threat actors compromised and exploited eleven websites that published news and cultural information related to the Uighur populations in China, particularly the East Turkestan region. The threat actors imitated the domains of Google, the Turkistan Times, and the Uyghur Academy, and used Google applications to gain access to Gmail accounts. Among other sensitive details collected were the hacked devices’ unique identification numbers, phone numbers, locations, central processing unit (CPU) data, and usernames.",,China,China,Espionage,Civil society,https://www.cyberscoop.com/china-uyghur-hacking-china-android-iphone/,https://www.volexity.com/blog/2019/09/02/digital-crackdown-large-scale-surveillance-and-exploitation-of-uyghurs/,
Targeting of BMW and Hyundai,12/6/2019,Ocean Lotus,"Ocean Lotus (aka APT 32), a threat actor aligned with the Vietnamese government, attacked BMW and Hyundai in an attempt to steal automotive trade secrets.",,BMW and Hyundai,Vietnam,Espionage,Private sector,https://www.zdnet.com/article/bmw-and-hyundai-hacked-by-vietnamese-hackers-report-claims/,https://www.scmagazine.com/home/security-news/apts-cyberespionage/reputed-vietnamese-apt-group-hacks-bmw-hyundai-report/,
Chinese intelligence repurposed NSA tools to attack private companies,5/6/2019,APT 3,The threat actor repurposed hacking tools used against them by the U.S. National Security Agency (NSA) to attack private companies in Asia and Europe. These attacks went undetected for two years.,,"Belgium, Luxembourg, The Philippines, and Vietnam",China,Espionage,Private sector,https://www.symantec.com/blogs/threat-intelligence/buckeye-windows-zero-day-exploit,,
Targeting of European and North American aerospace companies,10/14/2019,Believed to be the work of Turbine Panda,A threat actor conducted a multiyear espionage effort aimed at the theft of intellectual property from European and North American aerospace companies to further the development of China's C919 aircraft.,,,China,Espionage,Private sector,https://www.crowdstrike.com/blog/huge-fan-of-your-work-part-1/,https://www.csoonline.com/article/3445230/china-supported-c919-airliner-development-through-cyberespionage.html,
Targeting of Uzbek dissidents,10/31/2019,Government of Uzbkeistan,"Unit 02616 of Uzbekistan’s National Security Service used FinFisher, a German spyware, to attack dissidents.",,Uzbek activists and dissidents,Uzbekistan,Espionage,Civil society,https://arstechnica.com/information-technology/2019/10/kaspersky-finds-uzbekistan-hacking-opbecause-they-used-kaspersky-av/,https://www.reuters.com/article/us-uzbekistan-cyber/uzbek-spies-attacked-dissidents-with-off-the-shelf-hacking-tools-idUSKBN1WI0YL,
KINGDOM,10/12/2019,,"This threat actor, believed to be linked to Saudi Arabia, targets Saudi dissidents and foreign journalists with NSO Group's Pegasus malware. ",,"Saudi Arabian dissidents, , Foreign journalists",Saudi Arabia,,,https://citizenlab.ca/2018/10/the-kingdom-came-to-canada-how-saudi-linked-digital-espionage-reached-canadian-soil/,,
Targeting of Internet Research Agency,2/26/2019,U.S. Cyber Command,"U.S. Cyber Command conducted operations to disable online activities of the Internet Research Agency (IRA), a Russia-based company closely affiliated to the Russian government that conducts information operations. The operation was meant to prevent the IRA from interfering in the 2018 U.S. midterm elections.",,Russia,United States of America,Sabotage,Private sector,,,
Targeting of enterprise VPN servers from Fortinet and Pulse Secure,9/5/2019,"Believed to be the work of APT 5, also known as Manganese, and several other threat groups.",Multiple threat actors targeted secure sockets layer (SSL) virtual private network (VPN) servers provided by cybersecurity companies Fortinet and Pulse Secure. It is uncertain whether the attacks were successful.,,,China,,Private sector,,,
"Targeting of telecom companies across Africa, Europe, and Southeast Asia",12/12/2019,Gallium,"Gallium, an allegedly China-aligned threat actor, attacked telecom companies across the globe for several months.",,"Telecom companies in Africa, Europe, and Southeast Asia",China,Espionage,Private sector,https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/,,
Compromise of Amnesty International Hong Kong,4/15/2019,APTs associated with Beijing,This threat actor compromised Amnesty International Hong Kong's system to steal the personal information of supporters.,,Amnesty International Hong Kong,China,Espionage,Civil society,https://www.amnesty.org/en/latest/news/2019/04/state-sponsored-cyber-attack-hong-kong/,,
U.S. retaliation against Iran,10/16/2019,Government of the United States,The United States carried out a cyberattack against Iran designed to limit Tehran’s ability to spread propaganda in retaliation for the September 14 attacks on Saudi oil facilities.,,Iran,United States,Data destruction,Government,https://www.reuters.com/article/us-usa-iran-military-cyber-exclusive/exclusive-u-s-carried-out-secret-cyber-strike-on-iran-in-wake-of-saudi-oil-attack-officials-say-idUSKBN1WV0EK,,
DarkUniverse,11/5/2019,,"DarkUniverse was a threat group affiliated with Russia that was active for at least eight years, from 2009 until 2017.",,,Russian Federation,,"Private sector, Military",https://securelist.com/darkuniverse-the-mysterious-apt-framework-27/94897/,,
Targeting of Moroccan activists,10/10/2019,Government of Morocco,Amnesty International released a report showing how Morocco’s government used the NSO Group’s Pegasus malware to target two human rights activists in Morocco.,,"Maati Monjib, an academic and activist, and Abdessadak El Bouchattaoui, a human rights lawyer",Morocco,Espionage,Civil society,https://www.amnesty.org/en/latest/research/2019/10/morocco-human-rights-defenders-targeted-with-nso-groups-spyware/,,
Global hijacking of domain name system (DNS),1/9/2019,Suspected to be the work of Iranian actors.,An unknown actor with a connection to Iran hijacked DNS records to target the traffic of governments and telecommunications organizations around the world.,,"United States, South Korea, Canada, Lebanon , United Arab Emirates",Iran (Islamic Republic of),Espionage,Private sector,https://www.wired.com/story/iran-dns-hijacking/,https://www.fireeye.com/blog/threat-research/2019/01/global-dns-hijacking-campaign-dns-record-manipulation-at-scale.html,https://blog.talosintelligence.com/2018/11/dnspionage-campaign-targets-middle-east.html
Gallium,12/12/2019,,Gallium is a possibly China-linked threat actor that has carried out attacks against telecom companies across the globe.,,,China,,,https://www.bleepingcomputer.com/news/security/microsoft-warns-of-gallium-threat-group-attacking-global-telcos/,https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/,
Compromise of British infrastructure,4/2/2019,Iranian Revolutionary Guard,"A threat actor compromised the British Post Office and local government networks, stealing personal data—including email addresses and mobile phone numbers—of thousands of employees.",Confirmation   https://www.mirror.co.uk/news/uk-news/major-cyber-attack-uk-infrastructure-14226055,British Post Office and local government networks,Iran (Islamic Republic of),Espionage,Government,https://www.mirror.co.uk/news/uk-news/major-cyber-attack-uk-infrastructure-14226055,,
Targeting of embassies and foreign ministries in Eastern Europe and Central Asia,8/20/2019,"Believed to be the work of Sednit, also known as APT 28, Fancy Bear, and Strontium.","A threat actor targeted embassies and foreign ministries in Eastern Europe and Central Asia with a phishing campaign that deployed a form of Zebrocy malware on computers, creating backdoors. ",,,Russian Federation,,Government,https://www.cyberscoop.com/russia-zebrocy-eset/,https://www.welivesecurity.com/2019/09/24/no-summer-vacations-zebrocy/,
Targeting of European ministries,10/17/2019,the Dukes,"Believed to have gone dark, Russian threat actor the Dukes targeted the ministries of foreign affairs of three European countries and a European Union (EU) country embassy in the United States with malware.",,Ministries of foreign affairs of three European countries and an EU country embassy in the United States,Russian Federation,Espionage,Government,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Operation_Ghost_Dukes.pdf,https://www.thedailybeast.com/the-dukes-russian-intels-cyber-unit-that-went-dark-after-dnc-hack-is-still-spying?ref=scroll,
"Targeting of emails of German lawmakers, military officials, and embassy staff",11/29/2018,Believed to be the work of Russian hacker group Snake.,"German security officials detected a cyberattack, believed to be by the Russian group Snake, on the email accounts of German celebrities, lawmakers, military officials, and staff of several German embassies.",,Germany,Russian Federation,Doxing,"Government, Civil society",https://www.reuters.com/article/germany-cyber-russia/germany-detects-new-cyber-attack-by-russian-hacker-group-spiegel-idUSL8N1Y47J5,https://www.bloomberg.com/news/articles/2018-11-29/germany-suspects-russia-linked-hackers-in-attacks-on-politicians,https://www.forbes.com/sites/daveywinder/2019/01/05/russia-or-the-far-right-who-hacked-german-politics/#6c534f8112c1
Compromise of U.S. electric utility control rooms,7/23/2018,"Believed to be the work of Russian state-sponsored group Dragonfly, also known as Energetic Bear","A threat actor compromised air-gapped, or isolated, networks owned by U.S. electric utility companies by penetrating the networks of trusted vendors.",Confirmation   https://www.wsj.com/articles/russian-hackers-reach-u-s-utility-control-rooms-homeland-security-officials-say-1532388110,United States,Russian Federation,Sabotage,Private sector,,,
Compromise of the Dukes,1/25/2018,,"A threat actor successfully compromised the networks of the Dukes, gaining visibility into the Dukes’ targeting methods and operations. This compromise allegedly helped the U.S. intelligence community to attribute the 2016 compromise of the Democratic National Committee and other entities to Russian state-sponsored actors.",,Russian Federation,Netherlands,Espionage,Government,https://www.volkskrant.nl/tech/dutch-agencies-provide-crucial-intel-about-russia-s-interference-in-us-elections~a4561913/,https://www.washingtonpost.com/news/worldviews/wp/2018/01/26/dutch-media-reveal-country-to-be-secret-u-s-ally-in-war-against-russian-hackers/?utm_term=.e3b1bd96c5a3,
Targeting of chemical research and media organizations in Germany,7/12/2018,Believed to be the work of Sandworm.,"A threat actor targets German media companies and organizations involved in chemical weapons research, for the purpose of espionage.",,Germany,Russian Federation,Espionage,Private sector,https://www.verfassungsschutz.de/embed/broschuere-2018-07-bfv-cyber-brief-2018-02.pdf,,
Poison Ivy,9/21/2018,,"This threat actor targets government and private-sector entities in the defense, maritime, and science and technology sectors in China for espionage purposes. It is particularly interested in information related to cross–Taiwan Strait and U.S.-Sino relations.",,China,,Espionage,"Government, Private sector",http://blogs.360.cn/post/APT_C_01_en.html,,
HenBox,3/13/2018,,"This threat actor targets Uighurs—a minority ethnic group located primarily in northwestern China—and devices from Chinese mobile phone manufacturer Xiaomi, for espionage purposes.",,Uighurs,China,Espionage,Civil society,https://researchcenter.paloaltonetworks.com/2018/03/unit42-henbox-chickens-come-home-roost/,,
Compromise of FIFA,10/4/2018,Believed to be the work of APT 28,"A threat actor compromised the Federation Internationale de Football Association (FIFA). Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department.",,Federation Internationale de Football Association (FIFA),Russian Federation,Espionage,Civil society,https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,,
Stealth Mango and Tangelo,5/15/2018,,"This threat actor, which consists of Stealth Mango (Android) and Tangelo (iOS), targets government officials, diplomats, military personnel, and activists in primarily Afghanistan, India, Iraq, Pakistan, and the United Arab Emirates for espionage.",,"Pakistan, Afghanistan, India, Iraq, United Arab Emirates, United States, Australia, Germany",Pakistan,Espionage,"Government, Civil society",https://blog.lookout.com/stealth-mango,https://info.lookout.com/rs/051-ESQ-475/images/lookout-stealth-mango-srr-us.pdf,https://www.cyberscoop.com/pakistani-military-spyware-stealth-mango-tangelo-lookout/
Targeting of the office of U.S. Senator Claire McCaskill,7/26/2018,Believed to be the work of APT 28,"The office of U.S. Senator Claire McCaskill (D-MO) announced that it was targeted by Russian state-sponsored cyber actors, following a report of the incident in the Daily Beast.",,United States,Russian Federation,Espionage,Government,https://www.thedailybeast.com/russian-hackers-new-target-a-vulnerable-democratic-senator,https://www.mccaskill.senate.gov/media-center/news-releases/mccaskill-statement-on-report-of-attempted-russian-hacking,
Compromise of Marriott International,11/30/2018,Suspected to be the work of Chinese operatives working for the Ministry of State Security.,Marriott reported a massive data breach that affected up to five hundred million customers in its Starwood hotels reservation system. U.S. private investigators believe China is behind the hack.,,Marriott International Inc,China,Espionage,Private sector,https://www.nytimes.com/2018/12/11/us/politics/trump-china-trade.html,https://www.wsj.com/articles/marriott-says-hackers-swiped-millions-of-passport-numbers-11546605000,https://www.cnn.com/2018/11/30/tech/marriott-hotels-hacked/index.html
Compromise of computer networks associated with the 2018 Pyeongchang Winter Olympics,2/12/2018,,"A threat actor, using a tool called Olympic Destroyer, successfully disrupted computer networks associated with the 2018 Winter Olympics in Pyeongchang, South Korea, before the opening ceremony. Among other things, the incident crashed the Wi-Fi network in the Olympic stadium and the press center.",,Republic of Korea,Russian Federation,Sabotage,Civil society,http://blog.talosintelligence.com/2018/02/olympic-destroyer.html,https://www.washingtonpost.com/world/national-security/russian-spies-hacked-the-olympics-and-tried-to-make-it-look-like-north-korea-did-it-us-officials-say/2018/02/24/44b5468e-18f2-11e8-92c9-376b4fe57ff7_story.html,https://securelist.com/olympicdestroyer-is-here-to-trick-the-industry/84295/
Thrip,6/19/2018,Also known as Billbug and Lotus Blossom.,"This threat actor targets organizations in the satellite communications, telecommunications, geospatial-imaging, and defense sectors in the United States and Southeast Asia for espionage purposes.",,United States,China,Espionage,Private sector,https://www.symantec.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets,https://www.reuters.com/article/us-china-usa-cyber/china-based-campaign-breached-satellite-defense-companies-symantec-idUSKBN1JF2X0,
