src_port,dst_port,packet_size,protocol,label
8080,80,686,17,Brute Force
3389,80,1072,17,Unauthorized Access
3389,53,1258,6,Unauthorized Access
22,80,845,6,Malware Detected
80,443,1350,17,Unauthorized Access
8080,443,1496,6,Malware Detected
80,25,1178,6,DDoS Attack
443,25,841,17,Brute Force
80,80,1093,17,Brute Force
22,53,948,6,Malware Detected
8080,25,722,17,DDoS Attack
80,80,924,17,Malware Detected
3389,80,1314,6,Unauthorized Access
3389,443,1121,17,Malware Detected
443,21,891,6,DDoS Attack
443,443,1059,6,Malware Detected
80,53,1443,17,Malware Detected
80,53,930,17,Brute Force
8080,53,1327,17,Malware Detected
22,21,538,17,DDoS Attack
8080,80,726,6,Brute Force
443,25,744,6,DDoS Attack
22,25,954,17,DDoS Attack
443,25,1251,6,Malware Detected
80,25,1238,6,Unauthorized Access
80,21,538,6,Brute Force
80,443,992,17,Malware Detected
22,21,1467,6,DDoS Attack
443,80,508,6,Malware Detected
8080,80,1239,17,Brute Force
80,80,1221,6,DDoS Attack
443,25,1195,17,Malware Detected
22,53,1105,6,DDoS Attack
80,25,1119,6,Unauthorized Access
443,25,542,17,Brute Force
22,53,1456,6,Malware Detected
443,21,819,6,Unauthorized Access
3389,443,984,17,Brute Force
443,53,1261,6,Unauthorized Access
3389,443,946,6,Brute Force
443,443,553,17,DDoS Attack
80,21,675,6,DDoS Attack
22,80,550,17,Unauthorized Access
3389,25,558,17,Brute Force
3389,25,1194,17,Brute Force
22,21,814,6,DDoS Attack
443,53,564,6,DDoS Attack
3389,21,727,6,Unauthorized Access
80,443,1445,17,Malware Detected
22,80,1138,6,Brute Force
443,443,1196,17,Brute Force
8080,53,950,6,DDoS Attack
443,21,788,6,Malware Detected
443,25,1187,17,Malware Detected
22,443,1009,17,Brute Force
8080,21,520,6,Unauthorized Access
3389,443,1397,17,Malware Detected
22,21,1497,6,Brute Force
80,80,1083,17,Brute Force
80,443,1230,17,Malware Detected
22,25,1349,17,Brute Force
80,25,1034,17,Unauthorized Access
3389,80,1398,6,Malware Detected
443,25,1017,17,Brute Force
443,80,743,6,Malware Detected
22,80,806,17,Brute Force
443,53,1020,6,DDoS Attack
80,53,1097,17,Malware Detected
3389,80,1080,6,Malware Detected
443,443,697,6,Malware Detected
3389,53,845,17,Unauthorized Access
8080,443,747,6,DDoS Attack
443,53,1349,6,Brute Force
22,80,1292,6,Unauthorized Access
22,53,917,17,Unauthorized Access
3389,25,1279,17,Malware Detected
22,21,769,17,Brute Force
443,443,843,6,Unauthorized Access
3389,25,873,17,Malware Detected
3389,80,1175,17,Unauthorized Access
22,25,1200,17,DDoS Attack
443,80,500,17,Unauthorized Access
3389,80,1411,6,Unauthorized Access
80,25,1472,17,DDoS Attack
443,21,1159,17,Unauthorized Access
80,443,1432,6,Unauthorized Access
80,443,517,17,Brute Force
80,21,761,6,Unauthorized Access
443,53,1115,6,DDoS Attack
443,25,699,17,DDoS Attack
8080,80,741,6,Unauthorized Access
3389,25,897,6,Malware Detected
443,443,735,6,DDoS Attack
443,443,561,6,Brute Force
3389,443,1461,17,Unauthorized Access
8080,53,1301,6,Brute Force
22,21,954,17,Unauthorized Access
8080,25,1261,17,Unauthorized Access
22,443,1076,17,DDoS Attack
3389,53,956,17,Malware Detected
80,80,556,6,Malware Detected
8080,80,1124,17,Malware Detected
8080,443,1408,6,DDoS Attack
3389,53,963,6,Unauthorized Access
443,443,977,17,Brute Force
22,25,1228,6,Brute Force
8080,443,973,6,DDoS Attack
22,25,927,6,Malware Detected
80,25,949,6,DDoS Attack
80,80,1095,6,Brute Force
80,443,556,17,Malware Detected
443,21,573,17,Brute Force
80,53,509,6,Malware Detected
443,21,575,17,DDoS Attack
8080,53,1321,6,Malware Detected
8080,80,1294,17,Malware Detected
8080,443,1073,6,Brute Force
8080,443,697,6,Malware Detected
443,80,850,17,Brute Force
22,21,1175,6,DDoS Attack
443,53,1229,17,Unauthorized Access
3389,80,753,17,DDoS Attack
80,80,1192,17,DDoS Attack
22,21,1396,17,DDoS Attack
443,21,989,17,Unauthorized Access
443,53,1263,6,Unauthorized Access
443,25,1227,17,Malware Detected
22,21,825,17,DDoS Attack
3389,25,1017,17,DDoS Attack
22,53,1028,17,Malware Detected
3389,80,609,6,Brute Force
3389,80,1324,17,DDoS Attack
8080,443,953,17,DDoS Attack
22,25,908,17,Unauthorized Access
8080,25,546,17,Brute Force
22,25,973,6,Malware Detected
443,80,525,17,Malware Detected
8080,21,1487,6,Brute Force
22,443,1372,17,DDoS Attack
443,443,642,17,Unauthorized Access
3389,443,654,6,Unauthorized Access
80,21,1193,17,Brute Force
443,443,1368,6,DDoS Attack
22,21,1331,17,Malware Detected
80,80,924,17,Unauthorized Access
8080,80,1366,17,Brute Force
80,443,543,17,Brute Force
8080,25,883,6,Brute Force
443,443,1369,17,Malware Detected
80,443,903,6,Unauthorized Access
8080,21,1098,6,Malware Detected
22,443,692,17,Brute Force
3389,443,852,17,Malware Detected
443,53,660,6,Unauthorized Access
443,443,1362,17,Unauthorized Access
22,443,1113,17,DDoS Attack
80,25,1130,17,DDoS Attack
8080,80,513,6,Malware Detected
80,25,859,17,Malware Detected
80,25,578,17,Unauthorized Access
443,21,608,17,Unauthorized Access
443,53,1168,17,Malware Detected
80,53,1469,17,Malware Detected
8080,80,720,17,Brute Force
3389,21,1372,17,Brute Force
3389,443,1310,6,Unauthorized Access
80,443,818,17,Brute Force
8080,80,874,17,Brute Force
80,53,1331,17,Unauthorized Access
22,25,927,6,Malware Detected
443,80,1321,6,DDoS Attack
443,53,1433,17,Brute Force
80,25,505,17,Brute Force
8080,443,662,6,Malware Detected
22,21,1425,6,Malware Detected
80,25,982,6,Brute Force
80,443,1021,6,Brute Force
8080,25,1396,17,Unauthorized Access
22,443,878,17,Unauthorized Access
443,53,567,17,Unauthorized Access
22,21,695,6,Malware Detected
22,80,582,6,DDoS Attack
8080,53,585,17,DDoS Attack
80,21,817,6,Brute Force
443,443,998,6,Brute Force
8080,21,1123,6,DDoS Attack
22,21,520,17,Brute Force
3389,443,1068,17,Unauthorized Access
8080,25,1437,17,Brute Force
8080,25,1433,6,DDoS Attack
80,25,645,6,DDoS Attack
3389,25,804,17,Malware Detected
8080,21,1335,17,DDoS Attack
3389,21,658,17,Malware Detected
80,25,1370,17,Malware Detected
3389,80,1245,17,Unauthorized Access
8080,80,1406,6,Unauthorized Access
3389,25,980,17,Unauthorized Access
22,443,1380,17,DDoS Attack
8080,80,696,17,Brute Force
443,53,877,17,Malware Detected
22,443,1405,6,DDoS Attack
8080,80,1076,6,Brute Force
22,53,737,6,Unauthorized Access
3389,25,753,17,Malware Detected
22,21,1408,17,Unauthorized Access
3389,443,1427,17,Malware Detected
8080,25,1102,17,Malware Detected
22,25,733,6,Unauthorized Access
3389,80,1433,6,Unauthorized Access
8080,80,1486,6,Brute Force
22,80,582,6,DDoS Attack
8080,53,1172,6,Brute Force
8080,21,681,17,DDoS Attack
3389,443,875,17,Brute Force
3389,21,1483,17,Brute Force
80,80,825,6,Unauthorized Access
443,80,1068,17,Brute Force
3389,80,838,17,Brute Force
443,25,1417,17,DDoS Attack
443,53,628,6,Brute Force
3389,21,630,17,DDoS Attack
22,443,1478,17,Brute Force
22,53,1014,6,Malware Detected
80,443,1077,6,Malware Detected
3389,443,759,6,Unauthorized Access
22,21,581,6,Malware Detected
80,21,665,6,Malware Detected
8080,25,654,6,Unauthorized Access
3389,80,839,6,DDoS Attack
8080,53,641,17,Brute Force
3389,21,604,17,Unauthorized Access
3389,25,1098,17,Brute Force
443,80,1496,6,Unauthorized Access
22,80,1094,6,Unauthorized Access
443,53,1416,17,DDoS Attack
22,80,1395,17,DDoS Attack
3389,53,979,6,Malware Detected
443,80,941,6,Brute Force
80,25,566,6,Malware Detected
22,21,943,6,Unauthorized Access
80,25,1017,17,DDoS Attack
8080,25,716,17,Unauthorized Access
3389,21,892,17,Malware Detected
443,443,1085,17,Malware Detected
80,21,1020,17,DDoS Attack
22,443,1045,6,Malware Detected
22,80,856,6,Malware Detected
22,25,721,17,Malware Detected
80,25,1318,6,Brute Force
22,21,881,6,DDoS Attack
8080,25,1060,6,Malware Detected
22,443,697,6,Malware Detected
3389,25,551,6,DDoS Attack
3389,25,690,6,Malware Detected
80,25,1471,17,Brute Force
22,25,812,17,Unauthorized Access
80,25,1219,6,Unauthorized Access
80,25,1416,17,Unauthorized Access
8080,21,1464,17,DDoS Attack
3389,21,846,6,Brute Force
22,443,894,6,Malware Detected
8080,53,1332,17,Unauthorized Access
80,21,1463,6,Unauthorized Access
22,53,1427,17,DDoS Attack
22,80,516,6,Unauthorized Access
3389,25,930,6,Brute Force
8080,25,1101,6,Malware Detected
3389,53,1080,6,Brute Force
3389,53,1403,17,DDoS Attack
8080,21,836,6,Brute Force
443,443,1424,6,Malware Detected
80,80,1350,6,DDoS Attack
3389,53,1421,17,DDoS Attack
22,80,1476,17,Brute Force
443,21,636,17,Malware Detected
8080,80,743,6,Unauthorized Access
22,25,1412,6,Malware Detected
443,53,818,6,Unauthorized Access
8080,25,1474,17,Malware Detected
22,443,987,6,DDoS Attack
8080,21,574,17,DDoS Attack
8080,25,1454,17,Brute Force
443,25,946,6,DDoS Attack
3389,80,1395,17,Brute Force
8080,21,697,17,Malware Detected
80,25,1475,17,DDoS Attack
443,443,759,17,Malware Detected
443,21,1451,6,Unauthorized Access
3389,21,578,6,DDoS Attack
22,80,1383,17,Malware Detected
443,21,1135,17,DDoS Attack
22,80,1430,17,DDoS Attack
3389,25,714,6,Malware Detected
22,443,1329,6,Brute Force
22,443,979,17,Brute Force
80,80,1019,17,Unauthorized Access
80,53,1068,17,Unauthorized Access
80,443,1167,6,Unauthorized Access
80,443,893,17,Brute Force
22,25,802,17,Unauthorized Access
8080,443,1122,17,Malware Detected
80,443,638,17,Malware Detected
443,21,696,17,Brute Force
443,25,879,17,Unauthorized Access
80,21,1205,6,Malware Detected
22,53,1481,17,Malware Detected
3389,80,1039,6,Malware Detected
3389,25,513,17,Brute Force
80,443,725,6,Brute Force
80,25,718,17,Unauthorized Access
22,80,1396,6,DDoS Attack
80,53,828,6,DDoS Attack
80,443,1407,6,Brute Force
3389,53,1172,17,DDoS Attack
443,443,926,17,Brute Force
443,443,1259,6,DDoS Attack
22,80,591,17,Malware Detected
443,21,1256,17,Malware Detected
443,443,863,17,Unauthorized Access
80,21,872,6,DDoS Attack
3389,25,1147,6,Unauthorized Access
80,21,601,17,Malware Detected
3389,53,501,6,Unauthorized Access
3389,25,593,6,Malware Detected
22,53,800,6,Brute Force
80,53,1056,6,DDoS Attack
8080,21,601,17,Malware Detected
8080,25,1385,17,DDoS Attack
8080,443,1195,17,Unauthorized Access
3389,443,1312,6,DDoS Attack
443,53,502,6,Brute Force
443,53,1194,6,DDoS Attack
8080,25,1103,6,Unauthorized Access
80,53,1415,17,DDoS Attack
8080,53,746,6,Brute Force
22,80,1058,17,Brute Force
80,53,1322,6,Malware Detected
443,53,1252,17,Brute Force
80,80,1119,17,Malware Detected
80,53,830,17,DDoS Attack
8080,80,1191,6,Brute Force
8080,25,781,17,Unauthorized Access
3389,443,1408,6,Unauthorized Access
443,21,1285,6,Brute Force
80,25,947,17,Malware Detected
8080,21,1046,6,Unauthorized Access
3389,21,1117,6,Unauthorized Access
80,443,1007,17,Malware Detected
80,80,1287,17,DDoS Attack
80,80,935,6,Brute Force
8080,25,962,6,DDoS Attack
80,25,792,6,Brute Force
443,53,809,6,Unauthorized Access
22,53,1423,6,Malware Detected
8080,53,1468,17,Unauthorized Access
80,80,767,17,Unauthorized Access
443,80,636,17,Brute Force
22,80,1276,6,Brute Force
3389,25,797,17,Brute Force
80,25,1287,17,Unauthorized Access
80,21,548,17,Malware Detected
8080,53,654,6,Unauthorized Access
8080,21,1495,17,Brute Force
22,53,1427,6,Malware Detected
443,53,1047,17,Brute Force
22,443,1389,17,Malware Detected
3389,53,773,6,Unauthorized Access
8080,21,773,17,Brute Force
443,21,875,6,Brute Force
8080,80,1141,17,DDoS Attack
8080,443,830,17,Unauthorized Access
8080,25,1420,6,Unauthorized Access
443,21,1475,6,Unauthorized Access
80,443,593,6,DDoS Attack
80,53,657,6,DDoS Attack
80,25,1110,6,Unauthorized Access
3389,80,1180,6,Brute Force
8080,53,524,17,Unauthorized Access
22,25,1020,6,Malware Detected
22,443,1292,6,DDoS Attack
443,443,1328,6,DDoS Attack
22,21,618,17,DDoS Attack
3389,443,1142,17,Malware Detected
3389,21,1496,17,Brute Force
22,25,977,17,Brute Force
22,21,597,17,DDoS Attack
443,21,922,17,Brute Force
443,80,562,6,Brute Force
8080,25,1132,6,DDoS Attack
8080,25,656,17,Malware Detected
22,21,1084,17,DDoS Attack
80,53,1079,17,Unauthorized Access
22,443,739,6,Unauthorized Access
3389,443,1018,6,Malware Detected
443,21,1034,6,DDoS Attack
3389,25,972,17,Brute Force
3389,25,903,6,DDoS Attack
22,53,1287,17,DDoS Attack
80,53,586,6,Unauthorized Access
22,53,617,6,Brute Force
22,80,518,17,Malware Detected
22,53,795,17,Unauthorized Access
22,53,1105,6,Unauthorized Access
443,25,1074,17,Unauthorized Access
8080,21,971,6,Brute Force
22,80,1196,17,Unauthorized Access
22,443,1265,6,Malware Detected
8080,80,1109,6,Brute Force
80,21,1050,17,DDoS Attack
3389,25,1078,17,Malware Detected
8080,25,919,17,Malware Detected
443,21,1475,17,Unauthorized Access
80,80,886,6,Unauthorized Access
22,80,1098,6,Brute Force
80,25,1010,17,DDoS Attack
8080,53,1240,17,Malware Detected
22,25,1458,6,Malware Detected
8080,443,605,6,Unauthorized Access
22,53,1172,6,Brute Force
8080,443,822,17,Unauthorized Access
80,80,748,6,DDoS Attack
8080,53,689,17,Unauthorized Access
22,21,1025,17,Brute Force
8080,443,772,17,Malware Detected
80,80,1254,17,DDoS Attack
443,25,1184,17,DDoS Attack
443,443,1126,17,Brute Force
22,80,1448,6,DDoS Attack
8080,21,806,6,DDoS Attack
3389,25,797,6,Unauthorized Access
22,53,580,6,Brute Force
8080,443,521,6,Brute Force
22,80,778,17,Unauthorized Access
8080,25,803,6,Unauthorized Access
22,80,1432,6,Brute Force
443,53,1006,17,Brute Force
80,443,660,6,Unauthorized Access
22,443,1350,17,Unauthorized Access
443,443,1293,17,Brute Force
80,443,713,17,Brute Force
3389,53,1199,17,DDoS Attack
8080,443,1088,6,Unauthorized Access
8080,80,1185,17,Unauthorized Access
22,21,1257,6,DDoS Attack
3389,80,1470,6,Malware Detected
3389,53,707,17,DDoS Attack
443,443,1339,6,Unauthorized Access
8080,80,1299,17,DDoS Attack
22,443,1477,17,Brute Force
3389,53,741,6,Unauthorized Access
22,21,1187,17,Malware Detected
3389,53,1225,6,Unauthorized Access
3389,21,1495,17,Brute Force
80,80,728,6,Brute Force
22,25,681,17,Brute Force
3389,53,1086,6,Malware Detected
443,21,531,17,Brute Force
80,80,1014,17,Brute Force
3389,25,1014,6,DDoS Attack
3389,80,950,17,DDoS Attack
22,443,1377,6,Brute Force
8080,21,945,17,Unauthorized Access
443,53,1412,6,Malware Detected
80,25,905,6,Malware Detected
8080,80,914,17,Brute Force
8080,443,1465,17,Unauthorized Access
8080,443,1148,6,Unauthorized Access
8080,25,930,17,Brute Force
80,443,658,6,Unauthorized Access
3389,53,1243,17,Unauthorized Access
80,21,1256,6,DDoS Attack
443,25,684,6,Unauthorized Access
22,53,1276,17,Unauthorized Access
443,443,676,6,Brute Force
443,80,1087,6,Malware Detected
443,53,812,17,DDoS Attack
443,21,645,6,Unauthorized Access
80,443,606,17,Unauthorized Access
443,53,1480,6,Brute Force
443,53,680,17,Unauthorized Access
443,53,1289,6,Unauthorized Access
443,53,1233,6,Malware Detected
22,443,989,6,Unauthorized Access
443,21,1235,17,Unauthorized Access
22,80,1351,6,Unauthorized Access
8080,53,1313,17,Malware Detected
3389,443,1229,6,Malware Detected
443,53,953,17,Malware Detected
3389,53,968,6,DDoS Attack
22,53,563,6,DDoS Attack
22,25,1212,17,Brute Force
443,21,1376,17,Brute Force
80,80,1104,6,Malware Detected
3389,21,991,6,Malware Detected
80,53,1010,6,Malware Detected
3389,21,702,17,Malware Detected
443,21,686,6,Malware Detected
8080,53,871,6,Brute Force
80,21,911,6,Brute Force
443,80,1285,6,Unauthorized Access
3389,25,665,17,Unauthorized Access
22,21,1320,6,Malware Detected
8080,443,741,6,Brute Force
22,80,668,6,Brute Force
443,25,1374,17,Unauthorized Access
22,21,507,6,Unauthorized Access
443,443,1060,6,Unauthorized Access
3389,21,1132,6,DDoS Attack
3389,443,1387,17,Malware Detected
80,21,1259,6,Malware Detected
3389,80,1286,17,Malware Detected
3389,21,1294,6,Brute Force
8080,21,1378,17,Brute Force
22,80,984,17,Unauthorized Access
443,443,922,6,Unauthorized Access
22,21,933,6,Malware Detected
80,53,1311,17,Brute Force
22,53,1102,6,Unauthorized Access
8080,53,570,6,Brute Force
80,21,812,17,Brute Force
8080,80,667,17,DDoS Attack
3389,25,641,17,Unauthorized Access
80,80,521,6,Unauthorized Access
3389,25,569,6,DDoS Attack
3389,80,944,6,Malware Detected
80,80,735,6,DDoS Attack
443,80,1236,17,Malware Detected
22,53,720,17,Unauthorized Access
8080,80,1465,6,Brute Force
3389,443,1089,17,Unauthorized Access
80,21,1249,6,Unauthorized Access
80,21,502,17,Unauthorized Access
22,80,847,6,Unauthorized Access
80,21,1157,17,Brute Force
8080,80,964,6,Unauthorized Access
443,80,643,17,Brute Force
22,443,986,6,Unauthorized Access
443,21,756,17,Brute Force
3389,21,654,17,Unauthorized Access
3389,80,683,6,Brute Force
3389,21,1148,17,DDoS Attack
443,443,1083,6,Malware Detected
80,443,892,6,Brute Force
443,25,1026,17,Malware Detected
8080,21,915,17,DDoS Attack
8080,80,722,17,Malware Detected
3389,21,597,6,Brute Force
3389,25,1134,17,DDoS Attack
8080,21,1383,6,Brute Force
22,25,1320,17,DDoS Attack
3389,53,1459,17,Malware Detected
3389,80,1279,6,DDoS Attack
3389,80,962,6,Unauthorized Access
8080,25,1498,6,Unauthorized Access
3389,80,754,6,Malware Detected
443,21,632,17,Unauthorized Access
443,25,1444,17,DDoS Attack
3389,53,1040,6,Malware Detected
443,80,1088,17,DDoS Attack
8080,53,1183,6,DDoS Attack
3389,53,871,6,Malware Detected
80,21,1402,17,Brute Force
22,25,868,6,Unauthorized Access
22,21,1490,6,DDoS Attack
22,53,739,17,Brute Force
22,25,1301,17,Brute Force
3389,80,1204,6,Brute Force
8080,25,1187,17,DDoS Attack
22,25,1480,17,Unauthorized Access
22,21,928,17,Brute Force
80,80,1251,17,DDoS Attack
22,80,950,6,Brute Force
80,21,622,6,DDoS Attack
3389,21,863,6,Malware Detected
443,21,1190,6,Malware Detected
80,80,1129,6,DDoS Attack
22,443,817,6,DDoS Attack
8080,21,1263,6,DDoS Attack
22,443,998,6,Malware Detected
443,80,1118,6,Unauthorized Access
22,80,615,6,Malware Detected
80,53,1191,17,Malware Detected
8080,25,672,6,Brute Force
8080,80,912,17,Malware Detected
80,80,977,17,Unauthorized Access
8080,443,931,17,Brute Force
443,443,724,6,Brute Force
8080,80,1087,17,Brute Force
22,53,1234,17,DDoS Attack
80,21,1346,17,Malware Detected
8080,443,1316,17,Malware Detected
443,53,608,17,Brute Force
8080,21,886,6,Malware Detected
3389,25,762,17,Unauthorized Access
8080,443,1108,6,Brute Force
8080,25,641,17,DDoS Attack
443,53,1494,6,Malware Detected
3389,80,1261,17,Unauthorized Access
8080,25,805,6,Unauthorized Access
22,25,1050,17,Unauthorized Access
443,443,676,6,Malware Detected
22,80,599,17,Unauthorized Access
8080,80,1298,17,DDoS Attack
8080,443,1437,17,Brute Force
22,25,1236,17,Brute Force
3389,53,1258,6,Brute Force
443,53,826,17,Malware Detected
22,25,1007,17,DDoS Attack
8080,21,1361,17,Malware Detected
22,80,1149,6,Brute Force
22,80,1073,6,Unauthorized Access
8080,80,556,6,Malware Detected
22,25,1194,6,Malware Detected
80,80,814,17,Unauthorized Access
8080,21,936,17,Malware Detected
3389,53,1474,17,Brute Force
8080,80,1438,17,DDoS Attack
22,80,593,6,Brute Force
80,53,1402,17,Brute Force
80,443,1078,17,Brute Force
22,21,1186,6,Brute Force
22,53,1498,17,Brute Force
80,80,1340,6,Brute Force
80,53,616,17,Malware Detected
3389,53,1045,6,Brute Force
3389,80,741,17,Brute Force
8080,443,946,6,Malware Detected
8080,80,757,6,Brute Force
80,25,651,17,Unauthorized Access
8080,80,1123,17,Malware Detected
8080,53,1112,17,Unauthorized Access
8080,53,584,6,Unauthorized Access
443,443,994,6,Unauthorized Access
80,443,795,6,Malware Detected
443,80,1255,6,Malware Detected
3389,53,1089,17,Unauthorized Access
8080,80,816,17,DDoS Attack
8080,53,1397,6,Unauthorized Access
22,25,736,17,Unauthorized Access
80,80,1223,17,Unauthorized Access
22,443,609,6,Unauthorized Access
443,25,1023,6,DDoS Attack
22,25,1474,6,Brute Force
22,53,1036,6,DDoS Attack
3389,53,1354,6,DDoS Attack
8080,80,556,17,DDoS Attack
443,53,931,17,Brute Force
22,25,1276,6,Malware Detected
22,80,1022,17,Brute Force
22,80,775,6,Malware Detected
80,21,790,17,Brute Force
443,21,890,6,Unauthorized Access
3389,80,1376,6,DDoS Attack
22,80,1308,17,Malware Detected
22,53,1209,6,DDoS Attack
443,53,1347,17,Brute Force
3389,443,1203,17,DDoS Attack
3389,25,678,6,Brute Force
22,25,978,17,Malware Detected
8080,53,1098,17,Brute Force
80,25,1385,17,Unauthorized Access
443,80,1401,17,Malware Detected
22,443,1314,6,Malware Detected
8080,53,1094,17,DDoS Attack
8080,25,1252,17,Malware Detected
22,80,1235,17,Unauthorized Access
22,21,1104,6,Unauthorized Access
22,21,797,6,DDoS Attack
3389,443,1424,6,Malware Detected
8080,443,1396,6,DDoS Attack
8080,53,586,17,DDoS Attack
80,443,697,6,Brute Force
8080,25,580,6,DDoS Attack
80,21,794,17,Malware Detected
8080,80,1123,17,DDoS Attack
80,53,1476,17,DDoS Attack
3389,25,779,6,Unauthorized Access
80,25,1232,17,Brute Force
22,25,797,17,Brute Force
3389,443,1202,17,Malware Detected
443,443,1387,6,Malware Detected
3389,80,1440,17,Unauthorized Access
80,21,1224,6,Malware Detected
8080,443,548,6,Brute Force
22,80,1088,17,Unauthorized Access
8080,21,1129,6,DDoS Attack
3389,443,569,17,Brute Force
80,25,1470,6,Malware Detected
22,53,1241,6,Brute Force
3389,80,890,6,DDoS Attack
443,21,1074,6,Brute Force
22,53,1051,6,Brute Force
80,80,982,17,Brute Force
3389,25,971,6,DDoS Attack
3389,25,950,17,Brute Force
80,443,802,6,Malware Detected
3389,21,872,6,Malware Detected
8080,53,960,17,Brute Force
8080,21,1468,17,Malware Detected
80,53,1101,17,Malware Detected
22,80,1041,17,Unauthorized Access
22,53,767,17,Brute Force
80,443,968,6,Malware Detected
8080,443,1330,6,Brute Force
443,80,1182,17,Malware Detected
22,443,1093,17,Brute Force
3389,25,898,17,DDoS Attack
443,443,761,6,Unauthorized Access
80,80,1321,6,Brute Force
8080,443,1247,6,Unauthorized Access
443,80,978,6,Malware Detected
80,25,1325,17,Unauthorized Access
22,25,839,17,DDoS Attack
3389,443,1300,6,Malware Detected
80,443,643,17,Brute Force
22,25,597,6,Malware Detected
443,443,1397,17,Brute Force
443,443,822,17,Unauthorized Access
8080,25,687,17,Unauthorized Access
8080,443,1394,17,Brute Force
443,80,1318,6,Brute Force
22,21,1049,6,Malware Detected
80,25,904,6,Brute Force
22,53,1336,6,Unauthorized Access
8080,53,928,17,DDoS Attack
80,53,653,17,Malware Detected
443,80,500,6,Brute Force
80,21,839,17,Unauthorized Access
22,80,1294,17,Brute Force
80,80,1287,6,Unauthorized Access
80,21,1414,17,DDoS Attack
443,53,774,6,Malware Detected
443,443,1317,17,Brute Force
3389,25,938,6,Unauthorized Access
8080,443,754,6,Unauthorized Access
3389,21,798,17,DDoS Attack
443,443,1137,6,Unauthorized Access
80,25,1272,6,Brute Force
22,53,1127,17,Malware Detected
443,25,1116,6,DDoS Attack
22,53,691,6,DDoS Attack
443,443,617,6,Unauthorized Access
80,80,846,17,Unauthorized Access
80,53,1445,6,DDoS Attack
22,21,1144,6,Brute Force
22,21,1217,17,Malware Detected
3389,53,1439,6,Malware Detected
22,25,645,6,Brute Force
3389,53,753,17,DDoS Attack
3389,443,1494,6,Unauthorized Access
3389,80,1265,6,Brute Force
3389,80,1386,6,Unauthorized Access
8080,80,789,17,Malware Detected
443,25,984,6,Malware Detected
443,443,832,17,Brute Force
443,443,641,17,DDoS Attack
80,21,784,6,Malware Detected
3389,53,1197,6,Brute Force
8080,25,1035,17,Malware Detected
3389,25,1452,17,DDoS Attack
80,21,1171,6,Brute Force
80,53,823,17,DDoS Attack
22,25,1099,6,Brute Force
80,25,1326,6,Unauthorized Access
443,443,578,6,Unauthorized Access
8080,53,552,17,DDoS Attack
80,21,1012,17,Unauthorized Access
443,53,623,17,DDoS Attack
8080,53,1068,6,Brute Force
80,53,1160,17,Malware Detected
22,25,897,6,Brute Force
80,443,1363,6,Brute Force
80,25,1256,17,Unauthorized Access
3389,21,522,6,DDoS Attack
80,80,654,17,DDoS Attack
80,80,551,6,Malware Detected
22,53,1134,6,Brute Force
8080,443,1367,6,Malware Detected
3389,21,1005,17,Malware Detected
80,443,884,17,Malware Detected
8080,25,706,17,Brute Force
8080,25,1344,17,Unauthorized Access
8080,443,531,6,Unauthorized Access
8080,53,601,17,Unauthorized Access
443,443,959,17,Brute Force
3389,80,1220,6,Unauthorized Access
80,53,1141,6,Unauthorized Access
8080,25,866,6,Malware Detected
3389,53,930,6,Malware Detected
80,21,789,6,Unauthorized Access
3389,80,1267,6,Brute Force
80,80,748,17,Brute Force
80,21,763,6,Brute Force
443,80,889,17,Brute Force
80,21,690,17,Brute Force
8080,80,1148,17,Malware Detected
3389,25,739,17,Unauthorized Access
80,80,676,17,Malware Detected
443,21,615,17,Brute Force
22,21,1259,6,Unauthorized Access
22,53,1253,17,Malware Detected
3389,53,1309,17,Brute Force
80,25,1141,6,Brute Force
8080,443,566,17,Malware Detected
8080,25,848,6,Unauthorized Access
3389,53,952,17,Unauthorized Access
80,25,915,6,Unauthorized Access
8080,25,956,17,Malware Detected
443,443,573,17,Unauthorized Access
8080,21,717,17,Brute Force
22,53,1103,17,Brute Force
8080,25,1139,17,Brute Force
443,25,1417,6,DDoS Attack
22,25,938,17,Malware Detected
8080,443,1392,17,DDoS Attack
443,25,784,6,DDoS Attack
3389,80,947,6,Brute Force
22,25,1483,17,Brute Force
80,80,1126,17,Malware Detected
80,21,606,6,Brute Force
22,25,592,6,Malware Detected
8080,25,1436,17,Malware Detected
22,53,749,17,DDoS Attack
3389,80,1302,6,DDoS Attack
8080,25,576,17,Unauthorized Access
3389,53,1124,6,DDoS Attack
80,443,974,6,Brute Force
3389,80,1412,6,Brute Force
80,21,565,6,DDoS Attack
8080,80,705,6,Malware Detected
22,25,561,6,DDoS Attack
3389,25,794,17,Malware Detected
8080,53,991,17,Unauthorized Access
22,53,617,17,Brute Force
3389,443,611,17,Brute Force
443,53,938,6,Malware Detected
80,443,826,6,DDoS Attack
22,25,534,6,Unauthorized Access
3389,80,816,6,Malware Detected
80,25,724,6,Malware Detected
8080,80,800,6,Malware Detected
443,80,1327,6,DDoS Attack
80,21,1406,17,DDoS Attack
22,25,1159,6,Malware Detected
3389,80,1156,6,Unauthorized Access
443,25,854,6,DDoS Attack
80,443,813,17,DDoS Attack
22,80,503,17,Unauthorized Access
443,25,1303,17,Brute Force
22,21,912,17,DDoS Attack
22,80,1013,17,Brute Force
3389,80,1100,6,Brute Force
8080,443,1095,17,Brute Force
22,443,971,17,Brute Force
